"2023 Fall"
"Generated 12/11/2023, 10:28:28 AM"
,"CLSS ID","CRN","Term","Term Code","Department Code","Subject Code","Catalog Number","Course","Section","Course Title","Long Title","Schedule Type","Title","Meeting Pattern","Meetings","Instructor","Building and Room","Status","Part of Term","Session","Campus","Instructional Method","Visible","Special Approval","Credit Hrs Min","Credit Hours","Grade Mode","URL","Attributes","Course Attributes","Enrollment","Maximum Enrollment","Prior Enrollment","Waitlist Maximum","Wait Total","Cross-listings","Cross-list Enrollment","Cross-list Maximum","Cross-list Wait Total","Comments (details for ASO and/or justifications for Dean/FM approvals)","Section Text (visible in student views)#1","Section Text (visible in student views)#2","Final Exam","Restrictions
Student Attribute 
Include/Exclude","Restrictions
Student Attribute","Restrictions
Classification 
Include/Exclude","Restrictions
Classification","Restrictions
Degree 
Include/Exclude","Restrictions
Degree","Restrictions
Department 
Include/Exclude","Restrictions
Department","Restrictions
Level 
Include/Exclude","Restrictions
Level","Restrictions
Field of Study - All 
Include/Exclude","Restrictions
Field of Study - All","Restrictions
Field of Study - Concentration 
Include/Exclude","Restrictions
Field of Study - Concentration","Restrictions
Field of Study - Major 
Include/Exclude","Restrictions
Field of Study - Major","Restrictions
Field of Study - Minor 
Include/Exclude","Restrictions
Field of Study - Minor","Restrictions
Program 
Include/Exclude","Restrictions
Program"
"DAGV 1200 - 3D Modeling Essentials"
,"8279","38051","2023 Fall","202340","DGM","DAGV","1200","DAGV 1200","151 (38051)","3D Modeling Essentials","","Face to Face (F)","","TR 8:30am-9:45am","TR 8:30am-9:45am [Face to Face (Class)]","Shurts, Benjamin (10596056) [Primary, 100%]; Baxter, Susan (10610204) [0%]; Karbakhsh, Wendi (10449271) [0%]","TG 114","Active","Full Term (1) - 1 (8/23/23 to 12/16/23)","Morning","M","Regular Class without Lab (LEC)","Yes","Late Add--Must See Instructor","3","3","Standard Letter","https://www.uvu.edu/maps/","Lab access fee of $45 applies","Lab access fee of $45 applies","14","26","0","25","0","Also DAGV 1200-V19 (38136)","35","58","","Please schedule in TG 114.  Elizabeth Warner will schedule the receive site in LA 110.","","This section will be held at Thanksgiving Point, 2912 Executive Parkway, Lehi.","N--Classroom/Lab is NOT needed","","","","","","","","","Include (E)","Continuing Education (CE) ","","","","","","","","","",""
,"8290","38136","2023 Fall","202340","DGM","DAGV","1200","DAGV 1200","V19 (38136)","3D Modeling Essentials","","Live Interactive (V)","","TR 8:30am-9:45am","TR 8:30am-9:45am [Face to Face (Class)]","Shurts, Benjamin (10596056) [Primary, 100%]; Baxter, Susan (10610204) [0%]; Karbakhsh, Wendi (10449271) [0%]","CB 112","Active","Full Term (1) - 1 (8/23/23 to 12/16/23)","Morning","M","Regular Class without Lab (LEC)","Yes","Late Add--Must See Instructor","3","3","Standard Letter","","Lab access fee of $45 applies","Lab access fee of $45 applies","21","32","0","25","0","See DAGV 1200-151 (38051)","35","58","","BLDG/RM: CB112; Xlist w/DAGV 1200 151 (new); Video rule 102 applies. INST: Shurts, Benjamin UVID 10596056 (won't let me add)","","","N--Classroom/Lab is NOT needed","","","","","","","","","Include (E)","Continuing Education (CE) ","","","","","","","","","",""
"DAGV 1400 - Scripting Essentials"
,"8280","38056","2023 Fall","202340","DGM","DAGV","1400","DAGV 1400","151 (38056)","Scripting Essentials","","Face to Face (F)","","MWF 9am-9:50am","MWF 9am-9:50am [Face to Face (Class)]","Shurts, Benjamin (10596056) [Primary, 100%]; Baxter, Susan (10610204) [0%]; Karbakhsh, Wendi (10449271) [0%]","TG 114","Active","Full Term (1) - 1 (8/23/23 to 12/16/23)","Morning","M","Regular Class without Lab (LEC)","Yes","Late Add--Must See Instructor","3","3","Standard Letter","https://www.uvu.edu/maps/","Lab access fee of $45 applies","Lab access fee of $45 applies","7","26","0","25","0","Also DAGV 1400-V19 (38167)","28","51","","Please schedule in TG 114.  Elizabeth Warner will schedule the receive site in LA 110.","","This section will be held at Thanksgiving Point, 2912 Executive Parkway, Lehi.","N--Classroom/Lab is NOT needed","","","","","","","","","Include (E)","Continuing Education (CE) ","","","","","","","","","",""
,"8291","38167","2023 Fall","202340","DGM","DAGV","1400","DAGV 1400","V19 (38167)","Scripting Essentials","","Live Interactive (V)","","MWF 9am-9:50am","MWF 9am-9:50am [Face to Face (Class)]","Shurts, Benjamin (10596056) [Primary, 100%]; Baxter, Susan (10610204) [0%]; Karbakhsh, Wendi (10449271) [0%]","LA 119","Active","Full Term (1) - 1 (8/23/23 to 12/16/23)","Morning","M","Regular Class without Lab (LEC)","Yes","Late Add--Must See Instructor","3","3","Standard Letter","","Lab access fee of $45 applies","Lab access fee of $45 applies","21","25","0","25","0","See DAGV 1400-151 (38056)","28","51","","BLDG/RM: LA 119; Xlist w/DAGV 1400 151 (new); Video rule 102 applies. INST: Shurts, Benjamin UVID 10596056 (won't let me add)","","","N--Classroom/Lab is NOT needed","","","","","","","","","Include (E)","Continuing Education (CE) ","","","","","","","","","",""
"DAGV 2210 - 3D Modeling and Animation"
,"6996","36658","2023 Fall","202340","DGM","DAGV","2210","DAGV 2210","320 (36658)","3D Modeling and Animation","","Face to Face and Online (FFO)","","M 12pm-12:50pm","M 12pm-12:50pm [Face to Face and Online (Class)]; Does Not Meet [Face to Face and Online (Class)]","Romrell, Anthony (10536064) [Primary, 100%]","TG 114; ONLINE ONLINE","Active","Full Term (1) - 1 (8/23/23 to 12/16/23)","Afternoon","M","Regular Class without Lab (LEC)","Yes","Late Add--Must See Instructor","3","3","Standard Letter","https://www.uvu.edu/otl/students/index.html","HY - Hybrid Delivery; Course fee of $19 applies; Software fee of $15 applies; Lab access fee of $45 applies","Course fee of $19 applies; Software fee of $15 applies; Lab access fee of $45 applies","24","27","24","25","0","","","","","co hort
Is it possible to move this class into TG 114.  We would like to increase the enrollment to 27 and need a room that will allow 27 students","","This course section will be held at Thanksgiving Point (2912 Executive Parkway, Lehi). https://www.uvu.edu/maps/

Course is taught both in person, in a classroom, and via technology. The technology-delivered components include teaching and learning activities and reduces the time traditionally spent in the face-to-face class.","N--Classroom/Lab is NOT needed","","","","","","","","","Include (E)","Continuing Education (CE) ","","","","","","","","","",""
"DAGV 2230 - Animation I"
,"6387","35754","2023 Fall","202340","DGM","DAGV","2230","DAGV 2230","320 (35754)","Animation I","","Face to Face and Online (FFO)","","W 12pm-12:50pm","W 12pm-12:50pm [Face to Face and Online (Class)]; Does Not Meet [Face to Face and Online (Class)]","Lantz, Clayton (10500967) [Primary, 100%]","TG 114; ONLINE ONLINE","Active","Full Term (1) - 1 (8/23/23 to 12/16/23)","Afternoon","M","Regular Class without Lab (LEC)","Yes","Late Add--Must See Instructor","2","2","Standard Letter","https://www.uvu.edu/otl/students/index.html","HY - Hybrid Delivery; Course fee of $18 applies; Software fee of $15 applies; Lab access fee of $45 applies","Course fee of $18 applies; Software fee of $15 applies; Lab access fee of $45 applies","24","27","24","25","0","","","","","Animation CoHort
Move all TG classes to TG 114 so all are in the same room.  Increase the enrollment.  It also has the outlets they need.","","This section will be held at Thanksgiving Point, 2912 Executive Parkway, Lehi.
https://www.uvu.edu/maps/.

Course is taught both in person, in a classroom, and via technology. The technology-delivered components include teaching and learning activities and reduces the time traditionally spent in the face-to-face class.","N--Classroom/Lab is NOT needed","","","","","","","","","Include (E)","Continuing Education (CE) ","","","","","","","","","",""
